abbreviation,Formula,Description,Compartment,Charge,bigg_name,ModelSEED,New_ID,Comments,,,,
cpad5p_c,C12H13NO9P,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose5-phosphate,c,-3,2cpr5p,,,,,,,
igp_c,C11H12NO6P,Indoleglycerolphosphate,c,-2,3ig3p,,,,,,,
t3p1_c,C3H5O6P,D-Glyceraldehyde3-phosphate,c,-2,g3p,,,,,,,
trp_c,C11H12N2O2,L-Tryptophan,c,0,trp__L,,,,,,,
c00463_c,C8H7N,Indole,c,0,indole,,,,,,,
phen_c,C10H8O6,Prephenate,c,-2,pphn,,,,,,,
phpyr_c,C9H7O3,Phenylpyruvate,c,-1,phpyr,,,,,,,
phe_c,C9H11NO2,L-Phenylalanine,c,0,phe__L,,,,,,,
4hpp_c,C9H7O4,3-(4-Hydroxyphenyl)pyruvate,c,-1,34hpp,,,,,,,
tyr_c,C9H11NO3,L-Tyrosine,c,0,tyr__L,,,,,,,
dglu_c,C5H8NO4,D-Glutamate,c,-1,glu__D,,,,,,,
dphe_c,C9H11NO2,D-Phenylalanine,c,0,phe__D,,,,,,,
phacal_c,C8H8O,Phenylacetaldehyde,c,0,pacald,,,,,,,
pac_c,C8H7O2,Phenylaceticacid,c,-1,pac,,,,,,,
fkyn_c,C11H12N2O4,L-Formylkynurenine,c,0,Lfmkynr,,,,,,,
forl_c,C8H6NO3,Formylanthranilate,c,-1,nformanth,,,,,,,
kyn_c,C10H12N2O3,L-Kynurenine,c,0,Lkynr,,,,,,,
sarc_c,C3H7NO2,Sarcosine,c,0,sarcs,,,,,,,
fald_c,CH2O,Formaldehyde,c,0,fald,,,,,,,
glyb_c,C5H11NO2,Glycinebetaine,c,0,glyb,,,,,,,
trdox_c,C6H7NO2S2R2,thioredoxindisulfide,c,0,trdox,,,,,,,
trdrd_c,C6H9NO2S2R2,thioredoxindithiol,c,0,trdrd,,,,,,,
metox_c,C5H11NO3S,L-methionineS-oxide,c,0,metox,,,,,,,
2mop_c,C4H5O3,2-Methyl-3-oxopropanoate,c,-1,2mop,,,,,,,
mtrna_c,HOX,tRNA(Met),c,0,trnamet,,,,,,,
lmettrna_c,C5H11NO2SX,L-Methionyl-tRNA(Met),c,1,mettrna,,,,,,,
tart_c,C4H4O6,L-tartarate,c,-2,tartr__L,,,,,,,
g_c,C3H5O4,D-Glycerate,c,-1,glyc__R,,,,,,,
betald_c,C5H12NO,Betainealdehyde,c,1,betald,,,,,,,
alaleu_c,C9H18N2O3,Ala-Leu,c,0,ala_leu,,,,,,,
metala_c,C8H16N2O3S,met-L-ala-L,c,0,met_L_ala__L,,,,,,,
hpyr_c,C3H3O4,Hydroxypyruvate,c,-1,hpyr,,,,,,,
ag_c,C10H12NO5,L-Arogenate,c,-1,Largn,,,,,,,
dipyrcar_c,C5H6NO2,"3,4-Dihydro-2H-Pyrrole-2-carboxylate",c,-1,1pyr5c,,,,,,,
oahser_c,C6H11NO4,O-Acetyl-L-homoserine,c,0,achms,,,,,,,
dala_c,C3H7NO2,D-Alanine,c,0,ala__D,,,,,,,
3opp_c,C3H3O3,3-Oxopropanoate,c,-1,msa,,,,,,,
prpeco_c,C24H34N7O17P3S,Propenoyl-CoA,c,-3,prpncoa,,,,,,,
hpcoa_c,C5H9NO3,L-Glutamate5-semialdehyde,c,-3,glu5sa,,,,,,,
cyste_c,C3H6NO5S,L-Cysteate,c,-1,Lcyst,,,,,,,
taur_c,C2H7NO3S,Taurine,c,0,taur,,,,,,,
selnt_c,O4Se,selenate,c,-2,sel,,,,,,,
aselnt_c,C10H13N5O10PSe,adenosinephosphoselenate,c,-1,adsel,,,,,,,
fero_c,C42H44FeN8O8S2R4,ferrocytochromec,c,2,focytC,,,,,,,
feri_c,C42H44FeN8O8S2R4,ferricytochromec,c,3,ficytC,,,,,,,
selt_c,SeO3,selenite,c,-2,slnt,,,,,,,
seld_c,HSe,selane,c,-1,seln,,,,,,,
scys_c,C3H7NO2Se,selenocysteine,c,0,selcys,,,,,,,
scyst_c,C7H14N2O4Se,L-selenocystathionine,c,0,selencysthne,,,,,,,
shsys_c,C4H8NO2Se,selenohomocysteine,c,-1,selhcys,,,,,,,
semet_c,C5H11NO2Se,selenomethionine,c,0,selmeth,,,,,,,
msel_c,CH4Se,Methylselenol,c,0,methsel,,,,,,,
cyal_c,C4H6N2O2,L-3-cyanoalanine,c,0,HC00955,,,,,,,
amprotr_c,C3H7N2,beta-Aminopropionitrile,c,1,apn3,,,,,,,
gappn_c,C8H13N3O3,gamma-glutamyl-beta-aminopropiononitrile,c,0,ggapn3,,,,,,,
gcala_c,C9H12N3O5,gamma-Glutamyl-beta-cyanoalanine,c,-1,ggbcala,,,,,,,
hcn_c,CHN,hydrogencyanide,c,0,cyan,,,,,,,
dgln_c,C5H10N2O3,D-Glutamine,c,0,gln__D,,,,,,,
rgt_c,C10H16N3O6S,Glutathione,c,-1,gthrd,,,,,,,
ogt_c,C20H30N6O12S2,Glutathionedisulfide,c,-2,gthox,,,,,,,
cgly_c,C5H10N2O3S,Cys-Gly,c,0,cgly,,,,,,,
alagln_c,C8H15N3O4,Ala-Gln,c,0,ala_L_gln__L,,,,,,,
alahis_c,C9H14N4O3,Ala-His,c,0,ala_L_his__L,,,,,,,
alaasp_c,C7H11N2O5,ala-L-asp-L,c,-1,ala_L_asp__L,,,,,,,
alaglu_c,C8H13N2O5,ala-L-glu-L,c,-1,ala_L_glu__L,,,,,,,
alathr_c,C7H14N2O4,ala-L-Thr-L,c,0,ala_L_Thr__L,,,,,,,
glyasn_c,C6H11N3O4,gly-asn-L,c,0,gly_asn__L,,,,,,,
glyasp_c,C6H9N2O5,gly-asp-L,c,-1,gly_asp__L,,,,,,,
glygln_c,C7H13N3O4,Gly-Gln,c,0,gly_gln__L,,,,,,,
glyglu_c,C7H11N2O5,gly-glu-L,c,-1,gly_glu__L,,,,,,,
glyleu_c,C8H16N2O3,Gly-Leu,c,0,gly_leu__L,,,,,,,
glymet_c,C7H14N2O3S,Gly-Met,c,0,gly_met__L,,,,,,,
glyphe_c,C11H14N2O3,Gly-Phe,c,0,gly_phe__L,,,,,,,
alagly_c,C5H10N2O3,L-alanylglycine,c,0,L_alagly,,,,,,,
arbt6p_c,C12H15O10P,Arbutin6-phosphate,c,-2,arbt6p,,,,,,,
g6p_c,C6H11O9P,D-Glucose6-phosphate,c,-2,g6p,,,,,,,
bendl_c,C6H6O2,p-Benzenediol,c,0,hqn,,,,,,,
c01172_c,C6H13O9P,beta-D-Glucose6-phosphate ,c,-2,M01389,,,,,,,
f6p_c,C6H11O9P,D-Fructose6-phosphate,c,-1,f6p,,,,,,,
fdp_c,C6H10O12P2,"D-Fructose1,6-bisphosphate",c,-4,fdp,,,,,,,
t3p2_c,C3H5O6P,Dihydroxyacetonephosphate,c,-1,dhap,,,,,,,
arbutin_e,C12H16O7,Arbutin_e,e,0,arbt,,,,,,,
