abbreviation,Formula,Description,Compartment,Charge,bigg_name,ModelSEED,New_ID,Comments,,,,
glymet_e,C7H14N2O3S,Gly-Met,e,0,gly_met__L,,,,,,,
metala_e,C8H16N2O3S,met-L-ala-L,e,0,met_L_ala__L,,,,,,,
alaleu_e,C9H18N2O3,Ala-Leu,e,0,ala_L_leu__L,,,,,,,
glytyr_e,C11H14N2O4,Gly-Tyr,e,0,gly_tyr__L,,,,,,,
glytyr_c,C11H14N2O4,Gly-Tyr,c,0,gly_tyr__L,,,,,,,
cgly_e,C5H10N2O3S,Gly-Cys,e,0,gly_cys__L,,,,,,,
glyglu_e,C7H11N2O5,gly-glu-L,e,-1,gly_glu__L,,,,,,,
alaglu_e,C8H13N2O5,ala-L-glu-L,e,-1,ala_L_glu__L,,,,,,,
glygln_e,C7H13N3O4,Gly-Gln,e,0,gly_gln__L,,,,,,,
alagln_e,C8H15N3O4,Ala-Gln,e,0,ala_L_gln__L,,,,,,,
alahis_e,C9H14N4O3,Ala-His,e,0,ala_L_his__L,,,,,,,
alagly_e,C5H10N2O3,L-alanylglycine,e,0,L_alagly,,,,,,,
glyphe_e,C11H14N2O3,Gly-Phe,e,0,gly_phe__L,,,,,,,
glyleu_e,C8H16N2O3,Gly-Leu,e,0,gly_leu__L,,,,,,,
taur_e,C2H7NO3S,Taurine,e,0,taur,,,,,,,
mlt_e,C12H22O11,Maltose,e,0,malt,,,,,,,
glc_e,C6H12O6,D-Glucose,e,0,glc__D,,,,,,,
larab_e,C5H10O5,L-Arabinose,e,0,arab__L,,,,,,,
lactose_e,C12H22O11,Lactose,e,0,lcts,,,,,,,
slf_e,O4S,Sulfate,e,-2,so4,,,,,,,
gl3p_e,C3H7O6P,sn-Glycerol3-phosphate,e,-2,sng3p,,,,,,,
rib_e,C5H10O5,D-Ribose,e,0,rib__D,,,,,,,
thj_e,HO3S2,Thiosulfate,e,-1,tsul,,,,,,,
glyb_e,C5H11NO2,Glycinebetaine,e,0,glyb,,,,,,,
pro_e,C5H9NO2,L-Proline,e,0,pro__L,,,,,,,
cho_e,C5H14NO,Choline,e,1,chol,,,,,,,
dmet_e,C5H11NO2S,D-Methionine,e,0,met__D,,,,,,,
dmet_c,C5H11NO2S,D-Methionine,c,0,met__D,,,,,,,
zn_e,Zn,Zinc,e,2,zn2,,,,,,,
zn_c,Zn,Zinc,c,2,zn2,,,,,,,
ferch_e,C27H45FeN9O12,Ferrichrome,e,0,fecrm,,,,,,,
ferch_c,C27H45FeN9O12,Ferrichrome,c,0,fecrm,,,,,,,
na_e,Na,Sodium,e,1,na1,,,,,,,
na_c,Na,Sodium,c,1,na1,,,,,,,
metsa_e,CH3SO3,Methanesulfonicacid,e,-1,mso3,,,,,,,
metsa_c,CH3SO3,Methanesulfonicacid,c,-1,mso3,,,,,,,
butsul_e,C4H8O3S,butanesulfonate,e,-1,butso3,,,,,,,
butsul_c,C4H8O3S,butanesulfonate,c,-1,butso3,,,,,,,
hexsul_e,C6H13O3S,hexanesulfonate,e,-1,hexs,,,,,,,
hexsul_c,C6H13O3S,hexanesulfonate,c,-1,hexs,,,,,,,
etsul_e,C2H4O3S,ethanesulfonate,e,-1,ethso3,,,,,,,
etsul_c,C2H4O3S,ethanesulfonate,c,-1,ethso3,,,,,,,
sula_e,C2H2O5S,Sulfoacetate,e,-2,sulfac,,,,,,,
sula_c,C2H2O5S,Sulfoacetate,c,-2,sulfac,,,,,,,
sprmd_e,C7H22N3,Spermidine,e,3,spmd,,,,,,,
ptrsc_e,C4H14N2,Putrescine,e,2,ptrc,,,,,,,
ca_e,Ca,Calcium,e,2,ca2,,,,,,,
ca_c,Ca,Calcium,c,2,ca2,,,,,,,
cobalt2_e,Co,Co2+,e,2,cobalt2,,,,,,,
acmum_e,C11H18NO8,N-Acetylmuramate,e,-1,acmum,,,,,,,
fru_e,C6H12O6,D-Fructose,e,0,fru,,,,,,,
mnt_e,C6H14O6,Mannitol,e,0,mnl,,,,,,,
nag_e,C8H15NO6,N-Acetyl-D-glucosamine,e,0,acgam,,,,,,,
tre_e,C12H22O11,"alpha,alpha-Trehalose",e,0,tre,,,,,,,
lac6p_c,C12H21O14P,Lactose6-phosphate,c,-2,lac6p,,,,,,,
co2_e,CO2,CO2,e,0,co2,,,,,,,
h2o_e,H2O,H2O,e,0,h2o,,,,,,,
o2_e,O2,O2,e,0,o2,,,,,,,
urea_e,CH4N2O,Urea,e,0,urea,,,,,,,
nh3_e,H4N,Ammonia,e,1,nh4,,,,,,,
cro4_c,O4Cr,chromate,c,-2,cro4,,,,,,,
cro4_e,O4Cr,chromate,e,-2,cro4,,,,,,,
k_e,K,Potassium,e,1,k,,,,,,,
k_c,K,Potassium,c,1,k,,,,,,,
mg_e,Mg,Magnesium,e,2,mg2,,,,,,,
mg_c,Mg,Magnesium,c,2,mg2,,,,,,,
fe2_e,Fe,Fe2+,e,2,fe2,,,,,,,
cd2_c,Cd2,Cadmium,c,2,cd2,,,,,,,
cd2_e,Cd2,Cadmium,e,2,cd2,,,,,,,
aseni_e,H3AsO3,arsenite,e,0,aso3,,,,,,,
aseni_c,H3AsO3,arsenite,c,0,aso3,,,,,,,
mn2_e,Mn,manganese,e,2,mn2,,,,,,,
mn2_c,Mn,manganese,c,2,mn2,,,,,,,
n2_e,N2,nitrogen,e,0,n2,,,,,,,
ppi_e,HO7P2,Diphosphate,e,-3,ppi,,,,,,,
pi_e,HO4P,Orthophosphate,e,-2,pi,,,,,,,
hno2_e,NO2,Nitrite,e,-1,no2,,,,,,,
hno3_e,NO3,Nitrate,e,-1,no3,,,,,,,
for_e,CHO2,Formate,e,-1,for,,,,,,,
lac_e,C3H5O3,L-Lactate,e,-1,lac__L,,,,,,,
actac_e,C4H5O3,Acetoacetate,e,-1,acac,,,,,,,
buac_e,C4H7O2,Butanoicacid,e,-1,but,,,,,,,
ac_e,C2H3O2,Acetate,e,-1,ac,,,,,,,
actn_e,C4H8O2,(R)-Acetoin,e,0,actn__R,,,,,,,
bdoh_e,C4H10O2,"(R,R)-2,3-Butanediol",e,0,btd_RR,,,,,,,
meli_e,C12H22O11,Melibiose,e,0,melib,,,,,,,
gl_e,C3H8O3,Glycerol,e,0,glyc,,,,,,,
gal_e,C6H12O6,D-Galactose,e,0,gal,,,,,,,
myoi_e,C6H12O6,myo-Inositol,e,0,inost,,,,,,,
xyl_e,C5H10O5,D-Xylose,e,0,xyl__D,,,,,,,
glcnt_e,C6H11O7,D-Gluconicacid,e,-1,glcn,,,,,,,
glucarate_e,C6H8O8,D-glucaricacid,e,-2,glcr,,,,,,,
galunt_e,C6H9O7,D-Galacturonate,e,-1,galur,,,,,,,
dgalac_e,C6H11O7,D-Galactonate,e,-1,galctn__D,,,,,,,
dgalac_c,C6H11O7,D-Galactonate,c,-1,galctn__D,,,,,,,
man_e,C6H12O6,D-Mannose,e,0,man,,,,,,,
alloin_e,C4H5N4O3,Allantoin,e,-1,alltn__R,,,,,,,
chor_e,C10H8O6,Chorismate,e,-2,chor,,,,,,,
fol_e,C19H17N7O6,Folate,e,-2,fol,,,,,,,
rgt_e,C10H16N3O6S,Glutathione,e,-1,gthrd,,,,,,,
cellob_e,C12H22O11,cellobiose,e,0,cellb,,,,,,,
gentb_e,C12H22O11,gentiobiose,e,0,gbiose,,,,,,,
raf_e,C18H32O16,Raffinose,e,0,raffin,,,,,,,
gaba_e,C4H9NO2,4-Aminobutanoate,e,0,4abut,,,,,,,
3pg_e,C3H4O7P,3-Phospho-D-glycerate,e,-3,3pg,,,,,,,
pyr_e,C3H3O3,Pyruvate,e,-1,pyr,,,,,,,
cit_e,C6H5O7,Citrate,e,-3,cit,,,,,,,
mal_e,C4H4O5,(S)-Malate,e,-2,mal__D,,,,,,,
succ_e,C4H4O4,Succinate,e,-2,succ,,,,,,,
fum_e,C4H2O4,Fumarate,e,-2,fum,,,,,,,
oa_e,C4H2O5,Oxaloacetate,e,-2,oaa,,,,,,,
akg_e,C5H4O5,2-Oxoglutarate,e,-2,akg,,,,,,,
gly_e,C2H5NO2,Glycine,e,0,gly,,,,,,,
ala_e,C3H7NO2,L-Alanine,e,0,ala__L,,,,,,,
dala_e,C3H7NO2,D-Alanine,e,0,ala__D,,,,,,,
lys_e,C6H15N2O2,L-Lysine,e,1,lys__L,,,,,,,
asp_e,C4H6NO4,L-Aspartate,e,-1,asp__L,,,,,,,
dser_e,C3H7NO3,D-Serine,e,0,ser__D,,,,,,,
glu_e,C5H8NO4,L-Glutamate,e,-1,glu__L,,,,,,,
gln_e,C5H10N2O3,L-Glutamine,e,0,gln__L,,,,,,,
cys_e,C3H7NO2S,L-Cysteine,e,0,cys__L,,,,,,,
his_e,C6H9N3O2,L-Histidine,e,0,his__L,,,,,,,
asn_e,C4H8N2O3,L-Asparagine,e,0,asn__L,,,,,,,
arg_e,C6H15N4O2,L-Arginine,e,1,arg__L,,,,,,,
orn_e,C5H13N2O2,L-Ornithine,e,1,orn,,,,,,,
ile_e,C6H13NO2,L-Isoleucine,e,0,ile__L,,,,,,,
leu_e,C6H13NO2,L-Leucine,e,0,leu__L,,,,,,,
val_e,C5H11NO2,L-Valine,e,0,val__L,,,,,,,
thr_e,C4H9NO3,L-Threonine,e,0,thr__L,,,,,,,
ser_e,C3H7NO3,L-Serine,e,0,ser__L,,,,,,,
phe_e,C9H11NO2,L-Phenylalanine,e,0,phe__L,,,,,,,
tyr_e,C9H11NO3,L-Tyrosine,e,0,tyr__L,,,,,,,
trp_e,C11H12N2O2,L-Tryptophan,e,0,trp__L,,,,,,,
ura_e,C4H4N2O2,Uracil,e,0,ura,,,,,,,
da_e,C10H13N5O3,Deoxyadenosine,e,0,dad_2,,,,,,,
xan_e,C5H4N4O2,Xanthine,e,0,xan,,,,,,,
cytd_e,C9H13N3O5,Cytidine,e,0,cytd,,,,,,,
uri_e,C9H12N2O6,Uridine,e,0,uri,,,,,,,
du_e,C9H12N2O5,Deoxyuridine,e,0,duri,,,,,,,
din_e,C10H12N4O4,Deoxyinosine,e,0,din,,,,,,,
dt_e,C10H14N2O5,Thymidine,e,0,thymd,,,,,,,
adn_e,C10H13N5O4,Adenosine,e,0,adn,,,,,,,
gn_e,C5H5N5O,Guanine,e,0,gua,,,,,,,
ins_e,C10H12N4O5,Inosine,e,0,ins,,,,,,,
dg_e,C10H13N5O4,Deoxyguanosine,e,0,dgsn,,,,,,,
dc_e,C9H13N3O4,Deoxycytidine,e,0,dcyt,,,,,,,
ump_e,C9H11N2O9P,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",e,-2,ump,ump,,,,,,
omp_e,C10H10N2O11P,Orotidine5-phosphate,e,-3,orot5p,,,,,,,
cyts_e,C4H5N3O,Cytosine,e,0,csn,,,,,,,
thy_e,C5H6N2O2,Thymine,e,0,thym,,,,,,,
ad_e,C5H5N5,Adenine,e,0,ade,,,,,,,
gsn_e,C10H13N5O5,Guanosine,e,0,gsn,,,,,,,
hyxn_e,C5H4N4O,Hypoxanthine,e,0,hxan,,,,,,,
bt_e,C10H15N2O3S,Biotin,e,-1,btn,,,,,,,
ribflav_e,C17H20N4O6,Riboflavin,e,0,ribflv,,,,,,,
cobce_e,C72H100CoN18O17P,Cobamidecoenzyme,e,0,adocbl,,,,,,,
oroa_e,C5H3N2O4,Orotate,e,-1,orot,,,,,,,
maln_e,C3H2O4,Malonate,e,-2,malon,,,,,,,
maln_c,C3H2O4,Malonate,c,-2,malon,,,,,,,
fmn_e,C17H19N4O9P,FMN,e,-2,fmn,,,,,,,
thme_e,C12H17N4OS,Thiamine,e,1,thm,,,,,,,
cellot_e,C18H32O16,cellotriose,e,0,cellb,,,,,,,
tur_e,C12H22O11,turanose,e,0,,cpd20885,turose,No existe en bigg ,,,,
dx5p_c,C5H9O7P,1-Deoxy-D-xylulose5-phosphate,c,-2,dxyl5p,,,,,,,
2me4p_c,C5H11O7P,2-C-Methyl-D-erythritol4-phosphate,c,-2,2me4p,,,,,,,
4c2me_c,C14H23N3O14P2,4-(Cytidine5-diphospho)-2-C-methyl-D-erythritol,c,-2,4c2me,,,,,,,
2p4c2me_c,C14H22N3O17P3,4-CDP-2-C-methyl-D-erythritol2-phosphate,c,-4,2p4c2me,,,,,,,
2mecdp_c,C5H10O9P2,"2-C-Methyl-D-erythritol2,4-cyclodiphosphate",c,-2,2mecdp,,,,,,,
h2mb4p_c,C5H9O8P2,1-Hydroxy-2-methyl-2-butenyl4-diphosphate,c,-3,h2mb4p,,,,,,,
ipp_c,C5H9O7P2,Isopentenyldiphosphate,c,-3,ipdp,,,,,,,
dmpp_c,C5H9O7P2,Dimethylallyldiphosphate,c,-3,dmpp,,,,,,,
grdp_c,C10H17O7P2,Geranyldiphosphate,c,-3,grdp,,,,,,,
gergdp_c,C20H33O7P2,Geranylgeranyldiphosphate,c,-3,ggdp,,,,,,,
udcpdp_c,C55H89O7P2,"di-trans,poly-cis-Undecaprenyldiphosphate",c,-2,udcpdp,,,,,,,
athedi_c,C35H57O7P2,all-trans-Heptaprenyldiphosphate,c,-3,hepdp,,,,,,,
preq2p_c,C30H49O7P2,Presqualenediphosphate,c,-3,psqldp,,,,,,,
sql_c,C30H50,Squalene,c,0,sql,,,,,,,
3oacoa_c,C27H37N7O20P3S,3-oxoadipyl-CoA,c,-5,oxadpcoa,,,,,,,
anil_c,C6H7N,Aniline,c,0,,cpd00245,anil,No existe en bigg ,,,,
ccl_c,C6H6O2,Catechol,c,0,catechol,,,,,,,
c03557_c,C2H8NO3P,2-Aminoethylphosphonate ,c,0,2ameph,,,,,,,
c03167_c,C2H5O4P,Phosphonoacetaldehyde,c,0,Pald,,,,,,,
c04261_c,C7H9N4O5PR2,ProteinN(pi)-phospho-L-histidine ,c,0,pplhis,,,,,,,
c00615_c,C7H8N4O2R2,Proteinhistidine ,c,0,phis__L,,,,,,,
c18237_c,C10H12MoN5O8PS2,Molybdoenzymemolybdenumcofactor ,c,0,moco,,,,,,,
c21485_c,C19H24MoN8O15P2S2,Cytidylylmolybdenumcofactor ,c,0,mococdp,,,,,,,
c15811_c,C4H6N2O2SR2,_Enzyme-cysteine ,c,0,,cpd14547,ecyst,No existe en bigg ,,,,
c15812_c,C4H6N2O2S2R2,_Enzyme-S-sulfanylcysteine ,c,0,,cpd14548,escyst,No existe en bigg ,,,,
c06481_c,C13H22NO12PR2C5H8O6PR,L-Seryl-tRNA(Sec) ,c,0,,cpd15565,lsertsec,No existe en bigg ,,,,
c05172_c,H3PO3Se,Selenophosphoricacid ,c,0,selnp,,,,,,,
c06482_c,C13H22NO11PSeR2C5H8O6PR,L-Selenocysteinyl-tRNA(Sec) ,c,0,,cpd15563,lsctsec,No existe en bigg ,,,,
c00252_c,C12H22O11,Isomaltose ,c,0,isomal,,,,,,,
c02362_c,C4H5NO4,2-Oxosuccinamate ,c,0,2oxosucc,,,,,,,
c00940_c,C5H7NO4,2-Oxoglutaramate ,c,0,HC00591,,,,,,,
c05648_c,C11H12N2O5,5-Hydroxy-N-formyl-L-kynurenine ,c,0,5hoxnfkyn,,,,,,,
c05651_c,C10H12N2O4,5-Hydroxykynurenine ,c,0,5hxkyn,,,,,,,
c01278_c,C7H6O6,"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate ",c,0,4cml,,,,,,,
5odhf2a_c,C6H5O4,"5-oxo-4,5-dihydro-2-furylacetate",c,-1,5odhf2a,,,,,,,
c07479_c,C7H8O5,2-Oxo-5-methyl-cis-muconate ,c,0,2omcm,,,,,,,
c11354_c,C6H8O3,"2-Hydroxy-cis-hex-2,4-dienoate ",c,0,2hchd,,,,,,,
c03453_c,C6H6O5,gamma-Oxalocrotonate ,c,0,oxalc,,,,,,,
c00237_c,CO,Carbonmonoxide ,c,0,co,,,,,,,
c03589_c,C5H8O4,4-Hydroxy-2-oxopentanoate ,c,0,4h2opntn,,,,,,,
c01825_c,C6H12O6,L-Galactose ,c,0,gal__L,,,,,,,
c01019_c,C6H12O5,L-Fucose ,c,0,fuc__L,,,,,,,
c18028_c,C6H10O5,"L-Fucono-1,5-lactone ",c,0,,,,No existe en bigg ,,,,
c04349_c,C6H8O6,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate ",c,0,46dh25dohxn,,,,,,,
c06153_c,C6H12O6,scyllo-Inositol ,c,0,,cpd03669,scinos,No existe en bigg ,,,,
c00497_c,C4H6O5,(R)-Malate ,c,0,mal__L,,,,,,,
c06730_c,C7H8O2,4-Methylcatechol ,c,0,4mcat,,,,,,,
c07085_c,C8H8O2,3-Vinylcatechol ,c,0,,cpd04360 ,vincat,No existe en bigg ,,,,
c07087_c,C8H8O4,"2-Hydroxy-6-oxoocta-2,4,7-trienoate ",c,0,,cpd04362,2h8o3eoct,No existe en bigg ,,,,
c02375_c,C6H5ClO2,4-Chlorocatechol ,c,0,,cpd01586,4clcat,No existe en bigg sdin cloro,,,,
c07089_c,C6H5ClO4,5-Chloro-2-hydroxymuconicsemialdehyde ,c,0,,cpd04364,5cl2hmsal,No existe en bigg sin cloro,,,,
c08276_c,C4H8O2S,3-(Methylthio)propanoate ,c,0,mtpp,,,,,,,
c21065_c,C6H7N5O2,"7,8-Dihydroxanthopterin ",c,0,,cpd31612,78dhxan,No existe en bigg ,,,,
c18091_c,C2H4NO2,Ethylnitronate ,c,0,,cpd18071,etnot,No existe en bigg ,,,,
c01028_c,C6H14N2O3,N6-Hydroxy-L-lysine ,c,0,n6hlys,,,,,,,
c06604_c,C10H14NO5PS,Parathion ,c,0,,cpd04008,pthion,No existe en bigg ,,,,
c03024_c,H2R,Reduced flavoprotein,c,0,cytP450r,,,,,,,
c06606_c,C10H14NO6P,Paraoxon ,c,0,,cpd04010,poxon,No existe en bigg ,,,,
c03161_c,PR,Oxidized flavoprotein,c,0,cytP450o,,,,,,,
c01598_c,C13H16N2O2,Melatonin ,c,0,melatn,,,,,,,
c05643_c,C13H16N2O3,6-Hydroxymelatonin ,c,0,6hoxmelatn,,,,,,,
fa_c,CHO2R,Fattyacid ,c,0,fa,,,No existe en bigg ,,,,
c05102_c,C2H3O3R,alpha-Hydroxyfattyacid ,c,0,,,,No existe en bigg ni modelseed,,,,
c00355_c,C9H11NO4,"3,4-Dihydroxy-L-phenylalanine ",c,0,34dhphe,,,,,,,
c00822_c,C9H9NO4,Dopaquinone ,c,0,dopaqn,,,,,,,
c03273_c,C5H8O3,5-Oxopentanoate ,c,0,oxptn,,,,,,,
c00489_c,C5H8O4,Glutarate ,c,0,glutar,,,,,,,
c05125_c,C14H23N4O8P2S,2-(alpha-Hydroxyethyl)thiaminediphosphate ,c,0,2hetdp,,,,,,,
c16255_c,C10H18NO2S2R,_Dihydrolipoyllysine-residueacetyltransferaseS-acetyldihydrolipoyllysine ,c,0,,cpd19180,dhlpracdhl,No existe en bigg ,,,,
c00322_c,C6H8O5,2-Oxoadipate ,c,0,2oxoadp,,,,,,,
c00527_c,C26H42N7O19P3S,Glutaryl-CoA ,c,0,glutcoa,,,,,,,
c06157_c,C13H22NO4S2R,_Dihydrolipoyllysine-residuesuccinyltransferaseS-glutaryldihydrolipoyllysine ,c,0,,,,No existe en bigg ni modelseed,,,,
c21017_c,C15H25N4O8P2S,2-(alpha-Hydroxypropyl)thiaminediphosphate ,c,0,2hetdp,,,,,,,
c21018_c,C11H20NO2S2R,EnzymeN6-(S-propyldihydrolipoyl)lysine ,c,0,,,,No existe en bigg ni modelseed,,,,
c15978_c,C17H29N4O8P2S,2-Methyl-1-hydroxybutyl-ThPP ,c,0,2mhob,,,,,,,
c15979_c,C13H24NO2S2R,_Dihydrolipoyllysine-residue(2-methylpropanoyl)transferaseS-(2-methylbutanoyl)dihydrolipoyllysine ,c,0,,,,No existe en bigg ni modelseed,,,,
c15976_c,C16H27N4O8P2S,2-Methyl-1-hydroxypropyl-ThPP ,c,0,2mhop,,,,,,,
c15977_c,C12H22NO2S2R,_Dihydrolipoyllysine-residue(2-methylpropanoyl)transferaseS-(2-methylpropanoyl)dihydrolipoyllysine ,c,0,,cpd19173,dhlp2mpr2mbdhl,No existe en bigg ,,,,
c15974_c,C17H29N4O8P2S,3-Methyl-1-hydroxybutyl-ThPP ,c,0,3mhtpp,,,,,,,
c15975_c,C13H24NO2S2R,_Dihydrolipoyllysine-residue(2-methylpropanoyl)transferaseS-(3-methylbutanoyl)dihydrolipoyllysine ,c,0,,,,No existe en bigg ni modelseed,,,,
c03427_c,C40H68O7P2,Prephytoenediphosphate ,c,0,prephytedp,,,,,,,
c05421_c,C40H64,15-cis-Phytoene ,c,0,phyto,,,,,,,
c15996_c,C7H5N5O,7-Cyano-7-carbaguanine ,c,0,preq0,,,,,,,
c16675_c,C7H9N5O,7-Aminomethyl-7-carbaguanine ,c,0,preq1,,,,,,,
c03294_c,C21H30N6O12PSRC5H8O6PR,N-Formylmethionyl-tRNA ,c,0,fmettrna,,,,,,,
c19848_c,C20H26N10O12P2S2,Adenylatedmolybdopterin ,c,0,mptamp,,,,,,,
c06232_c,H2MoO4,Molybdate ,c,0,mobd,,,,,,,
c04650_c,C5H12NO4P,L-Phosphinothricin ,c,0,pptrn,,,,,,,
c17952_c,C7H14NO5P,N-Acetylphosphinothricin ,c,0,acpptrn,,,,,,,
c17962_c,C4H10NO4P,Demethylphosphinothricin ,c,0,,cpd17947,dmetphostr,No existe en bigg ,,,,
c17949_c,C6H12NO5P,N-Acetyldemethylphosphinothricin ,c,0,,cpd17935,nacdmetphostr,No existe en bigg ,,,,
c02291_c,C7H14N2O4S,L-Cystathionine ,c,0,cyst__L,,,,,,,
c04462_c,C11H15NO8,N-Succinyl-2-L-amino-6-oxoheptanedioate ,c,0,sl2a6o,,,,,,,
c17558_c,C55H90O,"di-trans,poly-cis-Undecaprenol",c,0,,cpd19246 ,dtpcundpol,No existe en bigg ,,,,
udcpp_c,C55H89O4P,"di-trans,poly-cis-Undecaprenylphosphate",c,-2,udcpp,,,,,,,
c05924_c,C10H14N5O6PS2,Molybdopterin ,c,0,mpt,,,,,,,
c19871_c,C20H24MoN10O15P2S2,Guanylylmolybdenumcofactor ,c,0,mocogdp,,,,,,,
c00177_c,CN,Cyanideion ,c,0,cn,,,,,,,
c01755_c,CHNS,Thiocyanate ,c,0,tcynt,,,,,,,
c04230_c,C9H20NO7PR,1-Acyl-sn-glycero-3-phosphocholine ,c,0,1agpc,,,,,,,
c04233_c,C9H20NO7PR,2-Acyl-sn-glycero-3-phosphocholine ,c,0,2agpc,,,,,,,
c05973_c,C6H13NO7PR,2-Acyl-sn-glycero-3-phosphoethanolamine ,c,0,2ag3pea,,,No existe en bigg ,,,,
c04438_c,C6H13NO7PR,1-Acyl-sn-glycero-3-phosphoethanolamine ,c,0,1ag3pea,,,No existe en bigg ,,,,
c20440_c,C5H10O10P2,"alpha-D-Ribose1,2-cyclicphosphate5-phosphate ",c,0,prcp,,,,,,,
c01151_c,C5H12O11P2,"D-Ribose1,5-bisphosphate ",c,0,r15bp,,,,,,,
c09815_c,C7H7NO,Benzamide ,c,0,bzmd,,,,,,,
ba_c,C7H5O2,benzoate,c,-1,bz,,,,,,,
c00146_c,C6H6O,Phenol ,c,0,phenol,,,,,,,
c00156_c,C7H6O3,4-Hydroxybenzoate ,c,0,4hbz,,,,,,,
c02798_c,C3H5O6P,3-Phosphonopyruvate ,c,0,3pop,,,,,,,
c00986_c,C3H10N2,"1,3-Diaminopropane ",c,0,13dampp,,,,,,,
c20239_c,C7H9N5O3,"6-Carboxy-5,6,7,8-tetrahydropterin ",c,0,cph4,,,,,,,
c20248_c,C7H6N4O3,7-Carboxy-7-carbaguanine ,c,0,cdg,,,,,,,
c21310_c,C10H16N5O14P3,"(8S)-3',8-Cyclo-7,8-dihydroguanosine5'-triphosphate ",c,0,38ch2gtp,,,,,,,
precz_c,C10H12N5O8P,PrecursorZ,c,-2,cpmp,,,,,,,
c00221_c,C6H12O6,beta-D-Glucose ,c,0,glc_D_B,,,,,,,
c21008_c,C9H13N5O4,"7,8-Dihydromonapterin ",c,0,dhmpt,,,,,,,
c19830_c,C7H9NO3,"(5S,6S)-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate ",c,0,,cpd23678,6a5hch13ec,No existe en bigg ,,,,
c19831_c,C7H9NO3,"(1R,6S)-6-Amino-5-oxocyclohex-2-ene-1-carboxylate ",c,0,,cpd21073,6a5och2ec,No existe en bigg ,,,,
c20062_c,C29H42N7O18P3S,"2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA ",c,0,rephaccoa,,,,,,,
c19975_c,C29H42N7O18P3S,2-Oxepin-2(3H)-ylideneacetyl-CoA ,c,0,2oxpaccoa,,,,,,,
c20246_c,C7H10NO6PS,"2-_(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylideneethylphosphate ",c,0,2c4mthzep,,,,,,,
c16241_c,C8H14O2S2,(R)-Lipoate ,c,0,lipoate,,,,,,,
c16240_c,NH2R,Apoprotein ,c,0,,cpd14957,apopr,No existe en bigg ,,,,
c16237_c,C8H14NOS2R,ProteinN6-(lipoyl)lysine ,c,0,,cpd14954,pn6ll,No existe en bigg ,,,,
c16236_c,C8H16NOR,ProteinN6-(octanoyl)lysine ,c,0,,cpd14953,pn6ol,No existe en bigg ,,,,
c05921_c,C20H28N7O9PS,Biotinyl-5'-AMP ,c,-3,btamp,,,,,,,
etol_e,C2H6O,Ethanol,e,0,etoh,,,,,,,
sor_e,C6H12O6,L-sorbose,e,0,srb__L,,,,,,,
ery_e,C4H8O4,D-erythrose,e,0,erthrs,,,,,,,
nica_e,C6H4NO2,Nicotinate,e,-1,nac,,,,,,,
phpyr_e,C9H7O3,Phenylpyruvate,e,-1,phpyr,,,,,,,
mpyr_e,C3H3O3S,Mercaptopyruvate,e,-1,mercppyr,,,,,,,
etham_e,C2H8NO,Ethanolamine,e,1,etha,,,,,,,
cpd15800_c,,LipidcompositionofB.megaterium,c,0,,cpd15800,,??? Qué coño es esto,,,,
cpd16488_c,C20H28O,Genericlipidcontent,c,0,,cpd16488,grlpdc,??? Qué coño es esto,,,,
cpd15748_c,C123H240O135P24,"Stearoyllipoteichoicacid(n=24),linked,unsubstituted",c,-24,stearnsu24,,,,,,,
cpd15775_c,C195H360N24O159P24,"Stearoyllipoteichoicacid(n=24),linked,D-alaninesubstituted",c,-24,,cpd15775,stear24das,No existe en bigg ,,,,
cpd15752_c,C117H228O135P24,"Isopentadecanoyllipoteichoicacid(n=24),linked,unsubstituted",c,-24,isopensu24,,,,,,,
cpd15761_c,C261H468O255P24,"Isopentadecanoyllipoteichoicacid(n=24),linked,glucosesubstituted",c,-24,isopeluc24,,,,,,,
cpd15779_c,C189H348N24O159P24,"Isopentadecanoyllipoteichoicacid(n=24),linked,D-alaninesubstituted",c,-24,isop24ds,,,,,,,
cpd15746_c,C119H232O135P24,"Palmitoyllipoteichoicacid(n=24),linked,unsubstituted",c,-24,palminsu24,,,,,,,
cpd15773_c,C191H352N24O159P24,"Palmitoyllipoteichoicacid(n=24),linked,D-alaninesubstituted",c,-24,,cpd15773,palminsu24das,No existe en bigg ,,,,
cpd15747_c,C115H224O135P24,"Myristoyllipoteichoicacid(n=24),linked,unsubstituted",c,-24,myrs24u,,,,,,,
cpd15756_c,C259H464O255P24,"Myristoyllipoteichoicacid(n=24),linked,glucosesubstituted",c,-24,myrisluc24,,,,,,,
cpd15754_c,C119H232O135P24,"Isohexadecanoyllipoteichoicacid(n=24),linked,unsubstituted",c,-24,isohensu24,,,,,,,
cpd15781_c,C191H352N24O159P24,"Isohexadecanoyllipoteichoicacid(n=24),linked,D-alaninesubstituted",c,-24,,cpd15781,isohensu24das,No existe en bigg ,,,,
